field,DegreeLevel,SE_type,ethnicity_race,count
Engineers,professional,SE_field,amer_ind_alaskan,NA
Engineers,professional,SE_field,asian,NA
Engineers,professional,SE_field,black_afri_amer,NA
Engineers,professional,SE_field,nat_hawaii_pacific_islander,NA
Engineers,professional,SE_field,white,3000
Engineers,professional,SE_field,multi_race,NA
S&E-related occupations,professional,SE_field,hisp_lat,126000
S&E-related occupations,professional,SE_field,amer_ind_alaskan,NA
S&E-related occupations,professional,SE_field,asian,250000
S&E-related occupations,professional,SE_field,black_afri_amer,67000
S&E-related occupations,professional,SE_field,nat_hawaii_pacific_islander,NA
S&E-related occupations,professional,SE_field,white,898000
S&E-related occupations,professional,SE_field,multi_race,29000
Non-S&E occupations,professional,SE_field,hisp_lat,126000
Non-S&E occupations,professional,SE_field,amer_ind_alaskan,2000
Non-S&E occupations,professional,SE_field,asian,75000
Non-S&E occupations,professional,SE_field,black_afri_amer,96000
Non-S&E occupations,professional,SE_field,nat_hawaii_pacific_islander,NA
Non-S&E occupations,professional,SE_field,white,1119000
Non-S&E occupations,professional,SE_field,multi_race,36000
